COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
7966800%,ROSA CANINA SEED EXTRACT,,, 84696-47-9, 283-652-0,"Rosa Canina Seed Extract is an extract of the seeds of the Hip Rose, Rosa canina L., Rosaceae",,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
9697100%,ROSA CANINA SEED OIL,,, , ,"Rosa Canina Seed Oil is the fixed oil expressed from the seeds of Rosa canina, Rosaceae.",,SKIN CONDITIONING - EMOLLIENT,4356000%
5926700%,ROSA CANINA SEED POWDER,,, 84696-47-9, 283-652-0,"Rosa Canina Seed Powder is the powder obatained from the dried, ground seeds of the Hip Rose, Rosa canina L., Rosaceae",,"ABRASIVE, KERATOLYTIC, SKIN CONDITIONING",4046600%
8958700%,ROSA CENTIFOLIA BUD EXTRACT,,, , ,"Rosa Centifolia Bud Extract is the extract of the buds of Rosa centifolia, Rosaceae. 
",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4136600%
8952800%,ROSA CENTIFOLIA CALLUS CULTURE EXTRACT,,, , ,"Rosa Centifolia Callus Culture Extract is the extract of a culture of the callus of Rosa centifolia, Rosaceae.",,SKIN PROTECTING,4133300%
8721600%,ROSA CENTIFOLIA EXTRACT,,, 84604-12-6, 283-289-8,"Rosa Centifolia Extract is the extract of Rosa centifolia, Rosaceae",,SKIN CONDITIONING,4046600%
5926800%,ROSA CENTIFOLIA FLOWER,,, 84604-12-6, 283-289-8,"Rosa Centifolia Flower is the plant material obtained from the dried flowers of the Cabbage Rose, Rosa centifolia (L.), Rosaceae",,"FRAGRANCE, SKIN CONDITIONING",4046600%
5933600%,ROSA CENTIFOLIA FLOWER CERA,,, 84604-12-6, 283-289-8,"Rosa Centifolia Flower Cera is a wax obtained from the flower of the Cabbage Rose, Rosa centifolia (L.), Rosaceae",,"FRAGRANCE, SKIN PROTECTING",4046600%
7975600%,ROSA CENTIFOLIA FLOWER EXTRACT,,, 84604-12-6, 283-289-8,"Rosa Centifolia Flower Extract is an extract of the flowers of the Cabbage Rose, Rosa centifolia (L.), Rosaceae",,"ASTRINGENT, FRAGRANCE, SKIN CONDITIONING, TONIC",4046600%
5933700%,ROSA CENTIFOLIA FLOWER JUICE,,, 84604-12-6, 283-289-8,"Rosa Centifolia Flower Juice is the juice expressed from the flower of the Cabbage Rose, Rosa centifolia (L.), Rosaceae",,SKIN CONDITIONING,4046600%
7975700%,ROSA CENTIFOLIA FLOWER OIL,,, 84604-12-6, 283-289-8,"Rosa Centifolia Flower Oil is the volatile oil obtained from the flowers of the Cabbage Rose, Rosa centifolia (L.), Rosaceae",,"FRAGRANCE, TONIC",4046600%
8307500%,ROSA CENTIFOLIA FLOWER POWDER,,, 84604-12-6 , 283-289-8 ,"Rosa Centifolia Flower Powder is the powder obtained from the dried, ground flowers of the Cabbage Rose, Rosa centifolia (L.), Rosaceae ",,ABRASIVE,4046600%
5933800%,ROSA CENTIFOLIA FLOWER WATER,,, 84604-12-6, 283-289-8,"Rosa Centifolia Flower Water is an aqueous solution of the steam distillate obtained from the flowers of the Cabbage Rose, Rosa centifolia (L.), Rosaceae",,"SKIN CONDITIONING, SKIN PROTECTING",4046600%
9258100%,ROSA CENTIFOLIA FLOWER WAX,,, , ,"Cabbage Rose (Rosa Centifolia) Wax,Cabbage Rose Wax",,SKIN CONDITIONING,4233200%
8837400%,ROSA CENTIFOLIA LEAF CELL EXTRACT,,, 84604-12-6 , 283-289-8 ,"Rosa Centifolia Leaf Cell Extract is the extract of a culture of the leaf cells of Rosa centifolia, Rosaceae ",,"ANTIOXIDANT, SKIN PROTECTING",4178700%
9738500%,ROSA CENTIFOLIA STEM EXTRACT,,, , ,"Rosa Centifolia Stem Extract is the extract of the stems of Rosa centifolia, Rosaceae.",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4376200%
9672800%,ROSA CHINENSIS CALLUS LYSATE,,, , ,Rosa Chinensis Callus Lysate are the lysed cells derived from the callus of Rosa chinensis (Rosaceae) grown in culture.,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4358000%
9646600%,ROSA CHINENSIS FLOWER EXTRACT,,, , ,Rosa Chinensis Flower Extract is the extract of the flowers of Rosa chinensis (Rosaceae).,,SKIN CONDITIONING,4358000%
8722000%,ROSA DAMASCENA BUD EXTRACT,,, 90106-38-0, 290-260-3,"Rosa Damascena Bud Extract is the extract of the buds of Rosa damascena, Rosaceae",,SKIN CONDITIONING,4046600%
9589200%,ROSA DAMASCENA CALLUS,,, , ,Rosa Damascena Callus is the callus of Rosa x damascena (Rosaceae) grown in culture.,,"ANTI-SEBUM, ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING",4320800%
9589400%,ROSA DAMASCENA CALLUS CULTURE CONDITIONED MEDIA,,, , ,Rosa Damascena Callus Culture Conditioned Media is the growth media removed from cultures of the callus of Rosa x damascena (Rosaceae) after several days of growth.,,"ANTI-SEBUM, ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING",4320800%
8720500%,ROSA DAMASCENA CALLUS CULTURE EXTRACT,,, 90106-38-0, 290-260-3,"Rosa Damascena Callus Culture Extract is the extract of a culture of the callus cells of Rosa damascena, Rosaceae",,"ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN PROTECTING",4046600%
9863000%,ROSA DAMASCENA CALLUS EXTRACELLULAR VESICLES,,, , ,Rosa Damascena Callus Extracellular Vesicles,,SKIN CONDITIONING - MISCELLANEOUS,4411200%
8950100%,ROSA DAMASCENA CALLUS EXTRACT,,, , ,"Rosa Damascena Callus Extract is the extract of the callus of Rosa damascena grown in culture, Rosaceae.",,SKIN PROTECTING,4133400%
7975800%,ROSA DAMASCENA EXTRACT,,, 90106-38-0, 290-260-3,"Rosa Damascena Extract is an extract of the Damask Rose, Rosa damascena, Rosaceae",,"FRAGRANCE, TONIC",4046600%
8675000%,ROSA DAMASCENA FLOWER,,, 90106-38-0, 290-260-3,"Rosa Damascena Flower are the flowers of Rosa damascena, Rosaceae",,SKIN CONDITIONING,4046600%
5933900%,ROSA DAMASCENA FLOWER CERA,,, 90106-38-0, 290-260-3,"Rosa Damascena Flower Cera is a wax obtained from the flower of the Damask Rose, Rosa damascena, Rosaceae",,FRAGRANCE,4046600%
7975900%,ROSA DAMASCENA FLOWER EXTRACT,,, 90106-38-0, 290-260-3,"Rosa Damascena Flower Extract is an extract of the flowers of the Damask Rose, Rosa damascena, Rosaceae",,"FRAGRANCE, TONIC",4046600%
7976000%,ROSA DAMASCENA FLOWER OIL,,, 90106-38-0 / 8007-01-0, 290-260-3,"Rosa Damascena Flower Oil is the volatile oil obtained from the flowers of the Damask Rose, Rosa damascena, Rosaceae",,"FRAGRANCE, SKIN CONDITIONING",4046600%
8331100%,ROSA DAMASCENA FLOWER POWDER,,, 90106-38-0 , 290-260-3 ,"Rosa Damascena Flower Powder is the powder obtained from the dried, ground flowers of the Damask Rose, Rosa damascena, Rosaceae ",,FRAGRANCE,4046600%
5934000%,ROSA DAMASCENA FLOWER WATER,,, 90106-38-0, 290-260-3,"Rosa Damascena Flower water is an aqueous solution of the steam of the distillate obtained from the flowers of the Damask Rose, Rosa damascena, Rosaceae",,"FRAGRANCE, SKIN CONDITIONING, SKIN PROTECTING",4046600%
8994600%,ROSA DAMASCENA FLOWER WATER EXTRACT,,, , ,"Rosa Damascena Flower Water Extract is the extract of Rosa Damascena Flower Water, Rosaceae.",,"ANTIOXIDANT, ASTRINGENT",4171100%
9258200%,ROSA DAMASCENA FLOWER WAX,,, 90106-38-0 , 290-260-3 ,Rose (Rosa Damascena) Wax,,FRAGRANCE,4219100%
8411800%,ROSA DAMASCENA LEAF CELL EXTRACT,,, 90106-38-0 , 290-260-3 ,"Rosa Damascena Leaf Cell Extract is the extract of a culture of the leaf cells of the Damask Rose, Rosa damascena, Rosaceae ",,"FLAVOURING, SKIN PROTECTING",4046600%
8917500%,ROSA DAMASCENA PHYTOPLACENTA CULTURE EXTRACT,,, 90106-38-0, 290-260-3 ,"Rosa Damascena Phytoplacenta Culture Extract is the extract of a culture of the phytoplacenta of Rosa damascena, Rosaceae. ",,"ANTIOXIDANT, SKIN PROTECTING",4123600%
5934100%,ROSA DAVURICA BUD EXTRACT,,, -, -,"Rosa Davurica Bud Extract is an extract of the bud of the Rose, Rosa davurica, Rosaceae",,"ANTIOXIDANT, SKIN CONDITIONING",4060300%
8927700%,ROSA DAVURICA CALLUS CULTURE EXTRACT,,, , ,"Rosa Davurica Callus Culture Extract is the extract of a culture of the callus of Rosa davurica, Rosaceae.",,"ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING",4123600%
9159500%,ROSA DAVURICA CALLUS EXTRACT,,, , ,Rosa Davurica Callus Extract is the extract of a callus of Rosa davurica grown in culture.,,"ANTIMICROBIAL, HAIR CONDITIONING, HUMECTANT, SKIN PROTECTING",4196100%
9154400%,ROSA DAVURICA LEAF EXTRACT,,, , ,Rosa Davurica Leaf Extract is the extract of the leaves of Rosa davurica,,"HUMECTANT, SKIN CONDITIONING",4196100%
8927600%,ROSA DUVICA CALLUS CULTURE EXTRACT,,, , ,"Rosa Davurica Callus Culture Extract is the extract of a culture of the callus of Rosa davurica, Rosaceae.",,"ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING",4133400%
9254900%,ROSA EGLANTARIA FLOWER/LEAF/STEM EXTRACT,,, , ,"Rosa Eglentaria Extract,Sweet Briar Rose Extract",,FRAGRANCE,4219100%
9262900%,ROSA EGLANTARIA SEED OIL,,, , ,"Rosa Eglantaria Seed Oil is the oil expressed from the seeds of Rosa eglentaria, Rosaceae",,SKIN CONDITIONING,4219100%
5934400%,ROSA EXTRACT,,, , ,"Rosa extract is an extract of the whole plant of the American Beauty Rose, which is a Hybrid of Rosa centifolia, Rosa chinensis, Rosa damascena and Rosa gallica, rosaceae",,"ASTRINGENT, HAIR CONDITIONING, NAIL CONDITIONING, SKIN CONDITIONING",4046600%
9432300%,ROSA FLORIBUNDA CALLUS EXTRACT,,, , ,Rosa Floribunda Group Black Rose,,SKIN PROTECTING,4261400%
9444300%,ROSA FLORIBUNDA FLOWER EXTRACT,,, , ,"Rosa 'Botticelli',Rosa Floribunda Group 'Botticelli'",,SKIN CONDITIONING,4269000%
9183000%,ROSA GALLICA CALLUS EXTRACT,,, , ,"Rosa Gallica Callus Extract is the extract of the callus of Rosa gallica grown in culture, Rosaceae.",,"ANTIOXIDANT, SKIN PROTECTING",4196100%
9152900%,ROSA GALLICA CALLUS POWDER,,, , ,"Rosa Gallica Callus Powder is the powder obtained from the dried, ground callus of Rosa gallica grown in culture, Rosaceae.",,SKIN CONDITIONING,4196100%
9440300%,ROSA GALLICA FLOWER,,, , ,"Rosa Gallica Flower is the flower of  Rosa gallica, Rosaceae.",,SKIN CONDITIONING,4261400%
5934500%,ROSA GALLICA FLOWER EXTRACT,,, 84604-13-7, 283-290-3,"Rosa Gallica Flower Extract is an extract of the flowers of the French Rose, Rosa gallica L., Rosaceae",,"ASTRINGENT, SKIN CONDITIONING, TONIC",4046600%
5934600%,ROSA GALLICA FLOWER OIL,,, 84604-13-7, 283-290-3 ,"Rosa Gallica Flower Oil is the volatile oil obtained from the flowers of the French Rose, Rosa gallica L., Rosaceae",,"FRAGRANCE, SKIN CONDITIONING - EMOLLIENT",4046600%
8399300%,ROSA GALLICA FLOWER POWDER,,, 84604-13-7 , 283-290-3 ,"Rosa Gallica Flower Powder is the powder obtained from the dried, ground flowers of the French Rose, Rosa gallica L., Rosaceae ",,SKIN CONDITIONING,4046600%
8399400%,ROSA GALLICA FLOWER WATER,,, 84604-13-7 , 283-290-3 ,"Rosa Gallica Flower Water is an aqueous solution obtained from the steam distillates of the French Rose, Rosa gallica L., Rosaceae ",,"FLAVOURING, FRAGRANCE, PERFUMING",4046600%
9756000%,ROSA HIRTULA BRANCH/LEAF EXTRACT,,, , ,"Rosa Hirtula Branch/Leaf Extract is the extract of the branches and leaves of Rosa hirtula, Rosaceae. ",,HUMECTANT,4376200%
8739000%,ROSA HYBRID CALLUS CULTURE EXTRACT,,, 93062-88-5  , 296-844-4  ,"Rosa Hybrid Callus Culture Extract is the extract of a culture of the callus of the Rose, Rosa hybrida, Rosaceae",,HUMECTANT,4046600%
9206700%,ROSA HYBRID FLOWER,,, , ,"Rosa Hybrid Flower is the flower of Rosa hybrid, Rosaceae.",,SKIN CONDITIONING,4196100%
5934700%,ROSA HYBRID FLOWER CERA,,, 93062-88-5, 296-844-4,"Rosa Hybrid Flower Cera is the wax obtained from the flowers of the Rose, Rosa hybrida, Rosaceae",,SKIN CONDITIONING - EMOLLIENT,4046600%
5934800%,ROSA HYBRID FLOWER EXTRACT,,, 93062-88-5, 296-844-4,"Rosa Hybrid Flower Extract is an extract of the flowers of the Rose, Rosa hybrida, Rosaceae",,"SKIN CONDITIONING, TONIC",4046600%
5934900%,ROSA HYBRID FLOWER WATER,,, 93062-88-5, 296-844-4,"Rosa Hybrid Flower Water is an aqueous solution of the steam distillates obtained from the flowers of the Rose, Rosa hybrida, Rosaceae",,"FRAGRANCE, SKIN PROTECTING",4046600%
9286500%,ROSA HYBRID FLOWER WAX,,, 93062-88-5, ,Rosa Hybrid Flower Wax is the wax obtained from the flowers of  Rosa hybrid. ,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4233200%
8240900%,ROSA HYBRID OVARY EXTRACT,,, 93062-88-5 , 296-844-4 ,"Rosa Hybrid Ovary Extract is the extract of the ovaries of Rosa hybrid, Rosaceae ",,SKIN CONDITIONING,4046600%
9069200%,ROSA HYBRID PHYTOPLACENTA EXTRACT,,, , ,"Rosa Hybrid Phytoplacenta Extract is the extract of the phytoplacenta cells directly isolated from the plant, Rosa hybrid , or grown in culture, Rosaceae.",,SKIN CONDITIONING,4171100%
8381800%,ROSA INDICA FLOWER EXTRACT,,, 97281-55-5, 306-556-3,"Rosa Indica Flower Extract is the extract of the flowers of Rosa indica L., Rosaceae",,"ANTIOXIDANT, FLAVOURING, FRAGRANCE, PERFUMING",4046600%
9495500%,ROSA KAMCHATICA FRUIT EXTRACT,,, , ,"Rosa Kamchatica Fruit Extract is the extract of the fruit of Rosa kamchatica, Rosaceae. ",,"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING",4313900%
8623600%,ROSA LAEVIGATA FRUIT EXTRACT,,, -, -,"Rosa Laevigata Fruit Extract is the extract of the fruit of Rosa Laevigata, Rosaceae",,SKIN CONDITIONING,4046600%
8403100%,ROSA LUCIAE BRANCH/FLOWER/LEAF EXTRACT,,, -, -,"Rosa Luciae Branch/Flower/Leaf Extract is the extract of the branches, flowers and leaves of Rosa luciae, Rosaceae",,SKIN CONDITIONING,4046600%
9712600%,ROSA MEICHIBON/DELGRAMAUE CALLUS,,, , ,Rosa Meichibon/Delgramaue Callus is the callus of the hybrid formed by crossing Rosa sp. 'Meichibon' and Rosa sp. 'Delgramaue' grown in culture. The accepted scientific name for Rosa meichibon/delgramaue is Rosa sp. 'Meichibon' x 'Delgramaue'. ,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4358000%
9661400%,ROSA MEIFAISSEL CALLUS EXTRACT,,, , ,Rosa Meifaissel Callus Extract is the extract of the callus of Rosa meifaissel (Rosaceae) grown in culture. The accepted scientific name for Rosa meifaissel is Rosa sp. 'Meifaissel'.,,ANTIOXIDANT,4358000%
5935000%,ROSA MOSCHATA LEAF EXTRACT,,, , ,"Rosa Moschata Leaf Extract is an extract of the leaves of the Musk Rose, Rosa moschata, Rosaceae",,ASTRINGENT,4046600%
7976100%,ROSA MOSCHATA OIL,,, , ,"Rosa Moschata Oil is the oil obtained from the Musk Rose, Rosa moschata, Rosaceae",,"ASTRINGENT, FRAGRANCE, SKIN CONDITIONING - EMOLLIENT, TONIC",4046600%
7976200%,ROSA MOSCHATA SEED OIL,,, , ,"Rosa Moschata Seed Oil is the oil expressed from the seeds of the Musk Rose, Rosa moschata, Rosaceae or the Rose, Rosa eglanteria, Rosaceae",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
9595300%,ROSA MULTIFLORA EXTRACT,,, , ,"Rosa Multiflora Extract is the extract of the whole plant Rosa multiflora, Rosaceae.",,"ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN PROTECTING",4320800%
5935100%,ROSA MULTIFLORA FLOWER CERA,,, 97593-51-6, 307-356-9,"Rosa Multiflora Flower Cera is the wax obtained from the flowers of the Rose, Rosa multiflora, Rosaceae",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, VISCOSITY CONTROLLING",4046600%
9595200%,ROSA MULTIFLORA FLOWER EXTRACT,,, , ,"Rosa Multiflora Flower Extract is the extract of the flowers of Rosa multiflora, Rosaceae.",,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING",4320800%
9677200%,ROSA MULTIFLORA FLOWER WATER,,, 97593-51-6, 307-356-9,Rosa Multiflora Flower Water is the aqueous solution of the steam distillates derived from the flowers of Rosa multiflora (Rosaceae).,,"HUMECTANT, SKIN CONDITIONING",4358000%
9281900%,ROSA MULTIFLORA FLOWER WAX,,, 97593-51-6  , 307-356-9  ,"Rosa Multiflora Flower Wax is the wax obtained from the flowers of Rosa multiflora, Rosaceae ",,"SKIN CONDITIONING, VISCOSITY CONTROLLING",4219100%
5935200%,ROSA MULTIFLORA FRUIT,,, 97593-51-6, 307-356-9,"Rosa Multiflora Fruit is the fruit of the Rose, Rosa multiflora, Rosaceae",,MOISTURISING,4046600%
5935300%,ROSA MULTIFLORA FRUIT EXTRACT,,, 97593-51-6, 307-356-9,"Rosa Multiflora Fruit Extract is an extract of the fruit of the Rose, Rosa multiflora, Rosaceae",,"FRAGRANCE, TONIC",4046600%
8291300%,ROSA MULTIFLORA ROOT EXTRACT,,, 97593-51-6 , 307-356-9 ,"Rosa Multiflora Root Extract is the extract of the roots of the Rose, Rosa multiflora, Rosaceae ",,"HAIR CONDITIONING, SKIN CONDITIONING",4046600%
9221300%,ROSA MULTIFLORA SEED OIL,,, , ,"Rosa Multiflora Seed Oil is the fixed oil derived from the seeds of Rosa multiflora, Rosaceae.",,ANTIOXIDANT,4196100%
8250000%,ROSA ODORATA EXTRACT,,, 97676-09-0, 307-685-8,"Rosa Odorata Extract is the extract of the whole plant, Rosa odorata, Rosaceae",,"ASTRINGENT, HUMECTANT",4046600%
9066300%,ROSA PENDULINA LEAF CELL EXTRACT,,, , ,"Rosa Pendulina Leaf Cell Extract is the extract of the leaf cells of Rosa pendulina grown in culture, Rosaceae.",,"ANTIOXIDANT, SKIN PROTECTING",4171100%
5935400%,ROSA ROXBURGHII FRUIT EXTRACT,,, 223748-27-4, -,"Rosa Roxburghii Fruit Extract is an extract of the fruit of the Rose, Rosa roxburghii, Rosaceae",,TONIC,4046600%
8626100%,ROSA ROXBURGHII JUICE,,, 223748-27-4, -,"Rosa Roxburghii Juice is the juice expressed from the whole plant, Rosa roxburghii, Rosaceae",,"HUMECTANT, SKIN CONDITIONING - EMOLLIENT",4046600%
8926200%,ROSA ROXBURGHII SEED OIL,,, , ,"Rosa Roxburghii Seed Oil is the oil expressed from the seeds of Rosa roxburghii, Rosaceae. 
",,"ANTIOXIDANT, HAIR CONDITIONING, NAIL CONDITIONING, SKIN CONDITIONING",4123600%
8982600%,ROSA RUBIGINOSA FRUIT EXTRACT,,, , ,Rosa Rubiginosa Fruit Extract is the extract of the fruit of Rosa rubiginosa,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4126000%
5935500%,ROSA RUBIGINOSA SEED OIL,,, -, -,"Rosa Rubiginosa Seed Oil is the oil expressed from the seeds of the Rose, Rosa rubiginosa L., Rosaceae",,SKIN CONDITIONING - EMOLLIENT,4059800%
5935600%,ROSA RUBIGINOSA SEED OIL PEG-8 ESTERS,,, -, -,"Rosa Rubiginosa Seed Oil Peg-8 Esters is the complex mixture obtained from the transesterification of Rosa Rubiginosa L., Rosaceae, seed oil and PEG-8",,"SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING",4059800%
8962300%,ROSA RUBIGINOSA SEED OIL POLYGLYCERYL-6 ESTERS,,, , ," Rosa Rubiginosa Seed Oil Polyglyceryl-6 Esters is the product obtained by the transesterification of Rosa Rubiginosa Seed Oil and Polyglycerin-6. 
",,SKIN CONDITIONING,4136700%
9883400%,ROSA RUGOSA BRANCH/LEAF EXTRACT,,, , ,Rosa Rugosa Branch/Leaf Extract,,ANTIOXIDANT,4411200%
5935700%,ROSA RUGOSA BUD POWDER,,, 92347-25-6, 296-213-3,"Rosa Rugosa Bud Powder is the powder obtained from the dried, round buds of the Rose, Rosa rubiginosa L., Rosaceae",,"ABRASIVE, FRAGRANCE, HUMECTANT, SKIN PROTECTING",4046600%
9728100%,ROSA RUGOSA CALLUS CULTURE EXTRACT,,, , ,"Rosa Rugosa Callus Culture Extract is the extract of a culture of the callus of Rosa rugosa, Rosaceae.",,"ANTI-SEBUM, ANTIMICROBIAL, ANTIOXIDANT, HUMECTANT, SKIN PROTECTING",4376200%
5935800%,ROSA RUGOSA FLOWER EXTRACT,,, 92347-25-6, 296-213-3,"Rosa Rugosa Flower Extract is an extract obtained from the flowers of the Rose, Rosa rubiginosa L., Rosaceae",,SKIN CONDITIONING,4046600%
8358800%,ROSA RUGOSA FLOWER OIL,,, 92347-25-6 , 296-213-3 ,"Rosa Rugosa Flower Oil is the volatile oil obtained from the flowers of the Rose, Rosa rubiginosa L., Rosaceae ",,FRAGRANCE,4046600%
9687600%,ROSA RUGOSA FLOWER POWDER,,, , ,"Rosa Rugosa Flower Powder is the dried, ground powder obtained from the flowers of Rosa rugosa (Rosaceae).",,"HUMECTANT, SKIN CONDITIONING",4358000%
8655800%,ROSA RUGOSA FLOWER WATER,,, 92347-25-6, 296-213-3,"Rosa Rugosa Flower Water is an aqueous solution of the steam distillate obtained from the flowers of Rosa rugosa, Rosaceae",,"FRAGRANCE, PERFUMING",4046600%
8655700%,ROSA RUGOSA FRUIT EXTRACT,,, 92347-25-6, 296-213-3,"Rosa Rugosa Fruit Extract is the extract of the fruit of Rosa rugosa, Rosaceae",,SKIN CONDITIONING,4046600%
5935900%,ROSA RUGOSA LEAF EXTRACT,,, 92347-25-6, 296-213-3,"Rosa Rugosa Leaf Extract is an extract obtained from the leaves of the Rose, Rosa rubiginosa L., Rosaceae",,HUMECTANT,4046600%
9139200%,ROSA RUGOSA ROOT EXTRACT,,, 92347-25-6, 296-213-3,"Rosa Rugosa Root Extract is the extract of the roots of Rosa rugosa, Rosaceae",,SKIN CONDITIONING,4196100%
9210500%,ROSA RUGOSA STEM EXTRACT,,, 92347-25-6 , 296-231-3,Rosa Rugosa Stem Extract is the extract of the stems of Rosa rugosa. ,,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",4196100%
5936000%,ROSA SPINOSISSIMA FRUIT EXTRACT,,, 97593-52-7, 307-357-4,"Rosa Spinosissima Fruit Extract is an extract of the fruit of the Rose, Rosa spinosissima L., Rosaceae",,TONIC,4046600%
8292100%,ROSA WICHURAIANA STEM EXTRACT,,, -, -,"Rosa Wichuraiana Stem Extract is the extract of the stems of Rosa wichuraiana, Rosaceae",,"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
5936100%,ROSE EXTRACT,,, 84696-47-9, 283-652-0,"Rose Extract is an extract of various species of the Rose, Rosa spp., Rosaceae",,SKIN CONDITIONING,4046600%
